DOID:0001816
DOID:0002116
DOID:0040085
DOID:0050127
DOID:0050133
DOID:0050133
DOID:0050133
DOID:0050138
DOID:0050148
DOID:0050256
DOID:0050289
DOID:0050304
DOID:0050336
DOID:0050453
DOID:0050453
DOID:0050453
DOID:0050453
DOID:0050453
DOID:0050461
DOID:0050472
DOID:0050486
DOID:0050508
DOID:0050576
DOID:0050587
DOID:0050590
DOID:0050590
DOID:0050591
DOID:0050591
DOID:0050597
DOID:0050603
DOID:0050632
DOID:0050662
DOID:0050690
DOID:0050697
DOID:0050700
DOID:0050742
DOID:0050771
DOID:0050773
DOID:0050777
DOID:0050777
DOID:0050777
DOID:0050777
DOID:0050777
DOID:0050782
DOID:0050871
DOID:0050894
DOID:0050902
DOID:0060046
DOID:0060058
DOID:0060098
DOID:0060135
DOID:0060168
DOID:0060177
DOID:0060180
DOID:0060180
DOID:0060180
DOID:0060180
DOID:0060189
DOID:0060189
DOID:0060189
DOID:0060189
DOID:0060190
DOID:0060190
DOID:0060190
DOID:0060190
DOID:0060190
DOID:0060221
DOID:0060223
DOID:0060223
DOID:0060229
DOID:0060229
DOID:0060232
DOID:0060232
DOID:0060236
DOID:0060243
DOID:0060243
DOID:0060243
DOID:0060251
DOID:0060252
DOID:0060260
DOID:0060263
DOID:0060263
DOID:0060270
DOID:0060270
DOID:0060270
DOID:0060270
DOID:0060270
DOID:0060276
DOID:0060276
DOID:0060276
DOID:0060276
DOID:0060276
DOID:0060277
DOID:0060277
DOID:0060277
DOID:0060277
DOID:0060277
DOID:0060278
DOID:0060278
DOID:0060278
DOID:0060278
DOID:0060278
DOID:0060287
DOID:0060288
DOID:0060312
DOID:0060313
DOID:0060316
DOID:0060316
DOID:0060322
DOID:0060326
DOID:0060326
DOID:0060326
DOID:0060341
DOID:0060359
DOID:0060359
DOID:0060380
DOID:0060380
DOID:0060465
DOID:0060474
DOID:0060474
DOID:0060604
DOID:0060641
DOID:0060650
DOID:0060668
DOID:0060673
DOID:0060696
DOID:0060738
DOID:0060756
DOID:0060757
DOID:0060807
DOID:0060807
DOID:0060807
DOID:0060807
DOID:0060807
